,subjectivity,polarity,date,open_price,high_price,low_price,close_price,volume,adjclose_price,Net_Change
23,6.13154762,2.797619047,2/20/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
24,7.379828041,0.695171958,2/21/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
25,3.577777777,0.403888889,2/22/2021,46.689999,48.509998,42.400002,46,19476000,46,-0.689999
26,9.689484126,1.854428211,2/23/2021,44.970001,46.23,40,44.970001,7565200,44.970001,0
27,6.299098124,2.004689754,2/24/2021,44.700001,91.709999,44.700001,91.709999,83111700,91.709999,47.009998
28,15.05214947,1.79241743,2/25/2021,169.559998,184.679993,101,108.730003,150308800,108.730003,-60.829995
29,35.62580507,4.750538832,2/26/2021,117.459999,142.899994,86,101.739998,92194200,101.739998,-15.720001
30,14.78210317,3.933118687,2/27/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
31,4.024098124,1.545258951,2/28/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
32,5.8625,1.430277779,3/1/2021,104.540001,133.990005,99.970001,120.400002,49794000,120.400002,15.860001
33,14.90453907,4.296559829,3/2/2021,116.93,133.199997,112.199997,118.18,33783000,118.18,1.25
34,26.67643518,-2.672466933,3/3/2021,122.510002,127.75,113.120003,124.18,19273900,124.18,1.669998
35,17.72952381,2.005952381,3/4/2021,125,147.869995,115.300003,132.350006,32606900,132.350006,7.350006
36,17.96540104,0.057608076,3/5/2021,128.169998,151.529999,127.5,137.740005,30733700,137.740005,9.570007
37,19.1152393,2.665123707,3/6/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
38,5.988888889,2.310221355,3/7/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
39,5.829001323,0.060085978,3/8/2021,154.889999,210.869995,146.100006,194.5,63565600,194.5,39.610001
40,19.49638889,2.186666667,3/9/2021,217.710007,249.850006,208.509995,246.899994,39099300,246.899994,29.189987
41,31.92540464,2.388194744,3/10/2021,269.429993,348.5,172,265,71570600,265,-4.429993
42,33.25536304,5.555361435,3/11/2021,241.639999,281.5,232.600006,260,28312500,260,18.360001
43,16.04184524,-0.024609997,3/12/2021,275,295.5,262.269989,264.5,25845900,264.5,-10.5
44,11.38900613,3.343046537,3/13/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
45,12.27360209,4.600622295,3/14/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
46,3.563888889,1.136736111,3/15/2021,277.519989,283,206,220.139999,24100400,220.139999,-57.37999
47,12.39391534,3.504832551,3/16/2021,203.160004,220.699997,172.350006,208.169998,35422900,208.169998,5.009994
48,12.6021645,3.703750675,3/17/2021,217.839996,231.470001,204,209.809998,16481600,209.809998,-8.029998
49,8.518542568,-0.313510103,3/18/2021,214,218.880005,195.649994,201.75,11764900,201.75,-12.25
50,7.564478115,2.19638047,3/19/2021,195.729996,227,182.660004,200.270004,24677300,200.270004,4.540008
51,3.2,0.441666667,3/20/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
52,3.65,0.7125,3/21/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
53,2.276111111,-0.235277778,3/22/2021,205.259995,210.360001,186.199997,194.490005,10061500,194.490005,-10.76999
54,2.731944444,0.983333333,3/23/2021,197.5,201.75,177.550003,181.75,14429100,181.75,-15.75
55,7.553055556,-0.456805555,3/24/2021,157.979996,166.970001,118.620003,120.339996,24177900,120.339996,-37.64
56,9.669074073,0.889884258,3/25/2021,123.489998,187.5,116.900002,183.75,50962300,183.75,60.260002
57,11.1267316,1.341233765,3/26/2021,197.679993,218.929993,163.259995,181,37430700,181,-16.679993
58,8.215399531,1.988158369,3/27/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
59,2.286111111,-0.223611111,3/28/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
60,1.75,0.3,3/29/2021,180.75,193.919998,173.509995,181.300003,10042200,181.300003,0.550003
61,2,1.95,3/30/2021,187.5,204.300003,182,194.460007,17094900,194.460007,6.960007
62,0.5,0,3/31/2021,197.5,199.460007,187.110001,189.820007,8393800,189.820007,-7.679993
63,1.722222222,-0.288888889,4/1/2021,193.360001,196.970001,183.600006,191.449997,9334300,191.449997,-1.910004
64,3.094444444,0.473394097,4/2/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
65,0.854166667,0.715625,4/3/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
66,0.283333333,0.25,4/4/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
67,0.466666667,0.175,4/5/2021,171,195,164.809998,186.949997,14070500,186.949997,15.949997
